% 1. Title: Directive Keywords present in file dataset_corrected.csv

@RELATION directive_keywords_3

@ATTRIBUTE id NUMERIC
@ATTRIBUTE keyword_count NUMERIC
@ATTRIBUTE is_directive {directive, non-directive, revise}

@DATA
2,2,directive
2,0,non-directive
2,0,non-directive
2,1,directive
2,0,non-directive
2,0,non-directive
2,1,directive
2,0,non-directive
3,0,non-directive
3,0,non-directive
3,0,non-directive
4,2,directive
4,0,non-directive
4,0,non-directive
4,0,non-directive
4,0,non-directive
4,0,non-directive
4,0,non-directive
4,0,non-directive
4,0,non-directive
4,1,directive
4,0,non-directive
4,0,non-directive
4,0,non-directive
4,1,directive
4,0,non-directive
4,0,non-directive
5,4,directive
5,0,non-directive
5,1,directive
5,2,directive
5,1,directive
5,0,non-directive
5,0,non-directive
6,1,directive
6,0,non-directive
6,0,non-directive
6,0,non-directive
6,0,non-directive
6,0,non-directive
6,0,non-directive
6,1,directive
7,2,directive
7,0,non-directive
7,0,non-directive
7,0,non-directive
7,0,non-directive
7,0,non-directive
7,0,non-directive
7,0,non-directive
7,0,non-directive
7,0,non-directive
7,0,non-directive
7,0,non-directive
7,0,non-directive
7,0,non-directive
7,0,non-directive
7,0,non-directive
7,0,non-directive
7,0,non-directive
7,0,non-directive
7,0,non-directive
7,0,non-directive
7,1,directive
7,1,directive
7,0,non-directive
8,2,directive
8,0,non-directive
8,0,non-directive
8,0,non-directive
8,0,non-directive
8,0,non-directive
8,0,non-directive
8,0,non-directive
8,0,non-directive
8,1,directive
8,0,non-directive
8,0,non-directive
8,1,directive
8,0,non-directive
8,0,non-directive
8,1,directive
8,1,directive
8,0,non-directive
9,0,non-directive
9,0,non-directive
10,2,directive
10,0,non-directive
10,0,non-directive
10,0,non-directive
10,0,non-directive
10,1,directive
10,1,directive
10,0,non-directive
11,1,directive
11,0,non-directive
11,1,directive
11,0,non-directive
12,0,non-directive
12,0,non-directive
13,0,non-directive
13,0,non-directive
14,5,directive
14,2,directive
14,0,non-directive
14,0,non-directive
14,0,non-directive
14,0,non-directive
14,0,non-directive
14,0,non-directive
14,0,non-directive
14,2,directive
14,2,directive
14,0,non-directive
14,0,non-directive
15,1,directive
15,1,directive
15,1,directive
15,0,non-directive
15,0,non-directive
15,0,non-directive
15,0,non-directive
15,0,non-directive
15,0,non-directive
15,0,non-directive
15,0,non-directive
15,1,directive
15,1,directive
15,0,non-directive
15,0,non-directive
16,1,directive
16,0,non-directive
16,0,non-directive
16,1,directive
16,0,non-directive
16,0,non-directive
16,0,non-directive
16,0,non-directive
16,0,non-directive
17,7,directive
17,0,non-directive
17,0,non-directive
17,0,non-directive
17,0,non-directive
17,1,directive
17,0,non-directive
17,0,non-directive
17,1,directive
17,0,non-directive
17,3,directive
17,1,directive
17,0,non-directive
17,0,non-directive
17,0,non-directive
17,0,non-directive
17,1,directive
17,1,directive
17,1,directive
17,0,non-directive
17,1,directive
17,0,non-directive
18,2,directive
18,0,non-directive
18,2,directive
18,0,non-directive
19,5,directive
19,0,non-directive
19,0,non-directive
19,1,directive
19,0,non-directive
19,4,directive
19,0,non-directive
19,1,directive
19,1,directive
19,1,directive
20,0,non-directive
20,0,non-directive
20,0,non-directive
21,0,non-directive
21,0,non-directive
22,0,non-directive
22,0,non-directive
22,0,non-directive
22,0,non-directive
23,1,directive
23,0,non-directive
23,1,directive
23,1,directive
23,0,non-directive
23,1,directive
23,0,non-directive
23,0,non-directive
24,0,non-directive
24,0,non-directive
25,0,non-directive
25,0,non-directive
25,0,non-directive
25,0,non-directive
25,0,non-directive
25,0,non-directive
25,0,non-directive
25,0,non-directive
26,0,non-directive
26,0,non-directive
27,5,directive
27,0,non-directive
27,0,non-directive
27,1,directive
27,1,directive
27,1,directive
27,0,non-directive
27,2,directive
27,0,non-directive
27,0,non-directive
27,0,non-directive
27,0,non-directive
27,1,directive
27,0,non-directive
27,0,non-directive
27,0,non-directive
27,0,non-directive
27,0,non-directive
27,0,non-directive
27,0,non-directive
27,1,directive
27,0,non-directive
27,1,directive
27,0,non-directive
27,0,non-directive
27,1,directive
28,0,non-directive
28,0,non-directive
28,0,non-directive
28,0,non-directive
28,0,non-directive
28,0,non-directive
28,0,non-directive
29,0,non-directive
29,0,non-directive
29,0,non-directive
29,0,non-directive
29,0,non-directive
29,0,non-directive
31,0,non-directive
31,0,non-directive
31,0,non-directive
31,0,non-directive
31,0,non-directive
31,0,non-directive
31,0,non-directive
31,0,non-directive
31,0,non-directive
32,1,directive
32,0,non-directive
32,0,non-directive
32,0,non-directive
32,1,directive
32,0,non-directive
33,0,non-directive
33,0,non-directive
34,2,directive
34,1,directive
34,2,directive
34,1,directive
34,1,directive
34,1,directive
34,1,directive
34,2,directive
34,1,directive
34,0,non-directive
35,0,non-directive
35,0,non-directive
35,0,non-directive
36,1,directive
36,0,non-directive
36,0,non-directive
36,0,non-directive
36,0,non-directive
36,0,non-directive
36,0,non-directive
36,0,non-directive
36,0,non-directive
36,1,directive
36,0,non-directive
37,0,non-directive
37,0,non-directive
37,0,non-directive
38,0,non-directive
38,0,non-directive
38,0,non-directive
39,4,directive
39,0,non-directive
39,0,non-directive
39,0,non-directive
39,1,directive
39,0,non-directive
39,0,non-directive
39,0,non-directive
39,0,non-directive
39,1,directive
39,1,directive
39,0,non-directive
39,0,non-directive
39,0,non-directive
39,0,non-directive
39,0,non-directive
39,0,non-directive
39,1,directive
40,2,directive
40,0,non-directive
40,0,non-directive
40,1,directive
40,1,directive
40,0,non-directive
41,1,directive
41,0,non-directive
41,0,non-directive
41,1,directive
41,0,non-directive
42,5,directive
42,0,non-directive
42,0,non-directive
42,0,non-directive
42,0,non-directive
42,0,non-directive
42,1,directive
42,0,non-directive
42,2,directive
42,0,non-directive
42,1,directive
42,1,directive
42,0,non-directive
42,0,non-directive
42,0,non-directive
42,1,directive
42,0,non-directive
42,0,non-directive
43,1,directive
43,0,non-directive
43,0,non-directive
43,0,non-directive
43,0,non-directive
43,0,non-directive
43,1,directive
43,0,non-directive
44,1,directive
44,0,non-directive
44,0,non-directive
44,1,directive
44,0,non-directive
45,0,non-directive
45,0,non-directive
45,0,non-directive
45,0,non-directive
45,0,non-directive
45,0,non-directive
45,0,non-directive
45,0,non-directive
45,0,non-directive
45,0,non-directive
45,0,non-directive
45,0,non-directive
45,0,non-directive
45,0,non-directive
