@relation 'dataset_corrected_only_comments_and_manually_revised_subset_(only comments and class)-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Lfirst-weka.filters.unsupervised.instance.Randomize-S42'

@attribute text string
@attribute is_directive {directive,non-directive}

@data
'@since 3.3\n',non-directive
'<li>Transformer - wraps a Transformer as a Closure\n ',non-directive
?,non-directive
'@link TransformerUtils}. ',non-directive
' Identifier for the Hyperlink Color\n',non-directive
' Set the page to be the receiver.\n ',non-directive
'When these \"since\" tags are used in\nJavadoc<sup><font size=-2>TM</font></sup> comments for the JDBC API,\nthey indicate the following:\n<UL>\n ',non-directive
'Font will also be applied to\n            its children. ',non-directive
?,non-directive
'@param height a height, in points\n ',non-directive
' Thrown to indicate that an attempt to create or modify a {@link Range} failed because it would\n have resulted in an illegal range. A range is illegal if its length is &lt;= 0 or if its start\n line is &lt; 0.\n\n @since 3.2\n',non-directive
?,non-directive
'@since 3.0\n',non-directive
'@return the value\n ',non-directive
'</p>\n\n ',non-directive
' Creates a new string field editor \n',non-directive
' Set the manager for the preferences.\n @param manager The manager to set.\n \n @since 3.1\n',non-directive
'@param name the name of the preference\n ',non-directive
' Indicates whether the Cancel button is to be shown.\n',non-directive
'@throws NullPointerException if either parameter is null\n',non-directive
?,non-directive
?,non-directive
' Returns this field editor\'s scale control.\n \n @return the scale control, or <code>null</code> if no scale field is\n         created yet\n',non-directive
'<li>margins(0,0)</li>\n ',non-directive
'@since 3.1 \n\n ',non-directive
' Returns the text area.\n \n',non-directive
'@param differenceRect rectangle which, when added to the client area of the\n        layout, returns the outer area of the layout. ',non-directive
' Margin width (in pixels) to be used in layouts inside popup dialogs\n (value is 0).\n',non-directive
?,non-directive
'@link Composite}\n ',non-directive
' A field editor for a boolean type preference.\n',non-directive
' Returns the descriptor associated with the given key in this registry, \n or <code>null</code> if none.\n\n @param key the key\n @return the descriptor, or <code>null</code> if none\n @since 2.1\n',non-directive
' Sets whether this field editor is presenting the default value.\n\n @param booleanValue <code>true</code> if the default value is being presented,\n  and <code>false</code> otherwise\n',non-directive
'@since 3.4 this field is protected.\n',non-directive
?,non-directive
'<p>\n The double is obtained from the results of {',non-directive
'@param selection the selection\n ',non-directive
' Returns the set of FontData associated with this font. ',non-directive
' The cancel button has been pressed.\n \n',non-directive
?,non-directive
'A field editor reports\n an event when the value, or the validity of the value, changes.\n ',non-directive
' Fills this field editor\'s basic controls into the given parent. \n\n ',non-directive
' Creates the preference page for this node.\n',non-directive
' Style constant (value <code>0</code>) indicating the default layout where\n the field editor\'s check box appears to the left of the label.\n',non-directive
'-->\n\n',non-directive
?,non-directive
' Sets the GridData span. The span controls how many cells\n are filled by the control. \n \n @param span the new span. The x coordinate indicates the number of\n columns spanned, and the y coordinate indicates the number of rows.\n @return this\n',non-directive
'These interfaces are not intended for key \nimplementations whose key material resides in \ninaccessible, protected storage (such as in a \nhardware device). \n',non-directive
?,non-directive
'@return the value as a float\n ',non-directive
' Disposes this image registry, disposing any images\n that were allocated for it, and clearing its entries.\n \n',non-directive
?,non-directive
'@version $Revision: 814997 $ $Date: 2009-09-15 07:29:56 +0200 (Tue, 15 Sep 2009) $\n\n ',non-directive
'@see java.lang.Long#valueOf(java.lang.String)\n',non-directive
'For example, the applet context could be a Web browser or an applet\ndevelopment environment.\n',non-directive
'\n<p>Provides support for formatting key sequences.</p>\n\n<h2>Package Specification</h2>\n<p>\nThis is a collection fo various formatters for key sequences.  ',non-directive
'<tt>ContributionManager</tt>\nmaintains the contributions as a dynamic list of contribution items (<tt>IContributionItems</tt>).\n',non-directive
'@param selection the selection\n ',non-directive
' The label for no buttons.\n',non-directive
' The selected page.\n',non-directive
'<li>when the caret is moved to a revision\'s line (only on post-selection)</li>\n </ul>\n ',non-directive
?,non-directive
'@param id\n            the node id\n ',non-directive
'It delegates \nthe detection and presentation of hyperlinks to <tt>IHyperlinkDetector</tt> and <tt>IHyperlinkPresenter</tt>, respectively.\n',non-directive
'@return the value in the Map as a Short, <code>null</code> if null map input\n',non-directive
' Copies the given GridLayout instance\n \n @param l layout to copy\n @return a new GridLayout\n',non-directive
' Sets the information control creator for the additional information control.\n\n ',non-directive
?,non-directive
?,non-directive
?,non-directive
'@return {',non-directive
' Sets the selected range. ',non-directive
' Returns this dialog page\'s image.\n\n ',non-directive
' Message type constant used to display a warning icon with the message.\n \n',non-directive
'The manifest stores meta-information about the\nJAR file contents and is also used for signing JAR files.\n\n\n',non-directive
' A delayed input change listener that forwards delayed input changes to an information control replacer.\n\n @since 3.4\n',non-directive
'</p>\n',non-directive
'@param key  the key to look up\n ',non-directive
'@since 3.5\n',non-directive
?,non-directive
?,non-directive
'@param xHint\n            horizontal hint (pixels), or SWT.DEFAULT to use the control\'s\n            preferred size\n ',non-directive
' Creates and returns an SWT label under the given composite.\n\n @param parent the parent composite\n @return the new label\n',non-directive
' Converts the given value into a double.\n ',non-directive
' The label for back buttons.\n',non-directive
' Returns the first line contained in this range. ',non-directive
' The value of the preference when the user has asked that the answer to\n the question always be \"no\".\n',non-directive
'@param parent\n            The widgets parent\n',non-directive
' Gets a byte from a Map in a null-safe manner.\n <p>\n The byte is obtained from the results of {@link #getNumber(Map,Object)}.\n\n @param map  the map to use\n @param key  the key to look up\n @return the value in the Map as a byte, <code>0</code> if null map input\n',non-directive
'@param proposal the completion proposal\n',non-directive
' Save a dialog settings to a file.\n \n @param fileName\n            the name of the file the settings are written in.\n @throws IOException\n',non-directive
'@param monitor1\n            the first progress monitor\n ',non-directive
'@since 3.1\n',non-directive
?,non-directive
'<LI><code>NClob</code> interface -- mapping for SQL <code>NCLOB</code>\n\t ',non-directive
?,non-directive
'\n\nProvides classes and interface for RMI distributed\ngarbage-collection (DGC).  ',non-directive
'@param style either <code>GRID</code> or <code>FLAT</code>\n',non-directive
' Creates a radio group field editor.\n ',non-directive
' <p>Returns a FontDescriptor that is equivalent to the reciever, but whose height\n is larger by the given number of points.</p>\n \n <p>Does not modify the reciever.</p>\n \n @param heightDelta a change in height, in points. Negative values will return smaller\n fonts. \n @return a FontDescriptor whose height differs from the reciever by the given number\n of points. \n @since 3.3\n',non-directive
'@return the <code>ColorRegistry</code>.\n ',non-directive
' Returns <code>true</code> if the receiver can provide a hover for a certain document line.\n\n @param activeLine the document line of interest\n @return <code>true</code> if the receiver can provide a hover\n',non-directive
'\n<p>\nThis package contains implementations of the\n{',non-directive
?,non-directive
' Returns whether the named preference is known to this preference\n store.\n\n ',non-directive
' Creates a new {',non-directive
?,non-directive
?,non-directive
' A delayed input change listener that forwards delayed input changes to an information control replacer.\n\n ',non-directive
'<li><a href=\"\">##### REFER TO NON-SPEC DOCUMENTATION HERE #####</a>\n</ul>\n',non-directive
?,non-directive
?,non-directive
'@see #spacing(Point)\n ',non-directive
'\nProvides a reconciler add-on for an <tt>ITextViewer</tt>.\n',non-directive
'@since 1.4\n',non-directive
'@param title\n            the title.\n',non-directive
'@return the HTML contents\n',non-directive
'@param value the new current value of the preference\n',non-directive
?,non-directive
?,non-directive
'@param color\n            the title bar color\n',non-directive
' Sets this dialog page\'s image.\n\n ',non-directive
'@since 3.0\n',non-directive
' Returns the color data associated with the given symbolic color name.\n\n @param symbolicName symbolic color name.\n @return the <code>RGB</code> data, or <code>null</code> if the symbolic name\n is not valid.\n',non-directive
'@return the font\n',non-directive
'</p>\n',non-directive
'@param oldValue the old value\n ',non-directive
?,non-directive
'@since 3.5\n',non-directive
'@param pageIncrement\n            the value used for Scale.setPageIncrement(int).\n',non-directive
'@see org.eclipse.jface.dialogs.IPageChangeProvider#removePageChangedListener(org.eclipse.jface.dialogs.IPageChangedListener)\n ',non-directive
?,non-directive
?,non-directive
' Returns the font data associated with the given symbolic font name.\n Returns the default font data if there is no special value associated\n with that name.\n\n @param symbolicName symbolic font name\n @return the font\n',non-directive
?,non-directive
'<h2>Related Documentation</h2>\n\n<p> An excellent tutorial and overview of regular expressions is <a\nhref=\"http://www.oreilly.com/catalog/regex/\"><i>Mastering Regular\nExpressions</i>, Jeffrey E. ',non-directive
?,non-directive
'<li>\n<tt>FileFieldEditor</tt> - files</li>\n\n',non-directive
' Create a new instance of the receiver.\n @param title The displayable name of the action.\n @param preferenceStore The preference store to propogate changes to\n @param property The property that is being updated\n @throws IllegalArgumentException Thrown if preferenceStore or\n property are <code>null</code>.\n',non-directive
'@param name\n            the name of the preference this field editor works on\n ',non-directive
'<P>\nFor more developer information on how to use these \ninterfaces, including information on how to design \n<code>Key</code> classes for hardware devices, please refer\nto these cryptographic provider developer guides:\n<ul>\n  ',non-directive
'@throws NullPointerException if iterator parameter is null\n',non-directive
' Returns the section with the given name in this dialog settings.\n \n',non-directive
?,non-directive
'@param shouldExclude\n            true iff the control should be excluded from layouts\n ',non-directive
'@return the value in the Map as a Number, <code>null</code> if null map input\n',non-directive
'@param parent\n ',non-directive
'This complete JDBC API\nis included in the Java<sup><font size=-2>TM</font></sup>  \nStandard Edition (Java SE<sup><font size=-2>TM</font></sup>), version 6.  \n',non-directive
' Button id for a \"Help\" button (value 17).\n',non-directive
'<i>options</i> is the agent options.\n',non-directive
' Returns the color descriptor associated with the given symbolic color\n name. ',non-directive
'@see IProgressMonitor#beginTask(java.lang.String, int)\n',non-directive
'@param map the <code>Map</code> to populate.\n ',non-directive
'@param key\n            the key\n ',non-directive
?,non-directive
'Attaches a GridData to the control. ',non-directive
'<h2>Related Documentation</h2>\n\nFor overviews, tutorials, examples, guides, and tool documentation, please see:\n<ul>\n  ',non-directive
' Returns the font registry for JFace itself. ',non-directive
'@param path the path\n ',non-directive
' Create a new instance of the receiver.\n \n',non-directive
' Returns a copy of the given RowData\n \n ',non-directive
'@throws IllegalArgumentException if any closure in the collection is null\n',non-directive
?,non-directive
'If the value is a <code>String</code> and it equals \'true\' ignoring case\n then <code>true</code> is returned, otherwise <code>false</code>.\n ',non-directive
?,non-directive
'<li>Transformed - transforms each element added to the bag\n</ul>\n',non-directive
' Event object describing an <code>IDialogPage</code> in the midst of changing.\n \n @see IPageChangingListener\n @since 3.3\n',non-directive
?,non-directive
'<li>Transformed - transforms each element added\n',non-directive
' Sets the text of the change button.\n\n @param text the new text\n',non-directive
'@param status\n            the error to show to the user\n ',non-directive
' Returns the root level nodes of this preference manager.\n \n',non-directive
' The label control for the subtask.\n',non-directive
' Specifies whether status line appears to the left of the buttons\n (default) or above them.\n \n',non-directive
' Returns the symbolic font name used by dialog pages.\n \n',non-directive
'\n\nProvides classes and interfaces for supporting the server\nside of RMI.  A group of classes are used by the stubs and skeletons\ngenerated by the rmic stub compiler.  Another group of classes\nimplements the RMI Transport protocol and HTTP tunneling.\n\n<!--\n<h2>Package Specification</h2>\n\n##### FILL IN ANY SPECS NEEDED BY JAVA COMPATIBILITY KIT #####\n<ul>\n  <li><a href=\"\">##### REFER TO ANY FRAMEMAKER SPECIFICATION HERE #####</a>\n</ul>\n\n<h2>Related Documentation</h2>\n\nFor overviews, tutorials, examples, guides, and tool documentation, please see:\n<ul>\n  <li><a href=\"\">##### REFER TO NON-SPEC DOCUMENTATION HERE #####</a>\n</ul>\n-->\n\n@since JDK1.1\n',non-directive
'They are operationally defined as follows:\n\n<ul>\n\n',non-directive
'@since 3.0\n ',non-directive
' Returns JFace\'s viewer font. ',non-directive
' Creates a new RowDataFactory that creates copies of the given RowData by\n default.\n \n @param data\n            RowData to copy\n @return a new RowDataFactory that creates copies of the argument by\n         default\n',non-directive
?,non-directive
'@param newType\n            the message type\n ',non-directive
'  Looks up the given key in the given map, converting the result into\n  a boolean, using the default value if the the conversion fails.\n\n  ',non-directive
'@param newWizard\n            the wizard this dialog is working on\n',non-directive
'@param selection the selection to delete\n ',non-directive
' Creates a new preference dialog under the control of the given preference\n manager.\n \n',non-directive
' Adds a revision listener.\n\n ',non-directive
' Creates a new preference node with the given id. The new node has no\n subnodes.\n \n @param id\n            the node id\n',non-directive
'@param parent the parent control\n ',non-directive
' Returns the number of lines touched by <code>selection</code>. ',non-directive
'@param display the display the color is from\n ',non-directive
?,non-directive
' Copies the given RowLayout instance\n \n ',non-directive
'\nProvides classes that help communicate proper content for fields in dialogs and wizards.\n',non-directive
?,non-directive
' Returns the change button for this field editor.\n \n',non-directive
'<li>CursorableLinkedList - a list that can be modified while the listIterator (cursor) is being used</li>\n',non-directive
'@param rgb the color\n ',non-directive
'@return this\n ',non-directive
'@param parent\n            the parent of the field editor\'s control\n',non-directive
?,non-directive
'Content assist supports the user in writing&nbsp; by proposing context\nsensitive completions at a given document position. ',non-directive
'@link org.apache.commons.collections.Buffer Buffer} interface.\n',non-directive
'@param parent the parent of the field editor\'s control\n',non-directive
' Creates a new dialog page with the given title and image.\n \n',non-directive
'@return ProgressMonitorPart\n',non-directive
' Deallocates anything that was allocated by createFont, given a font\n that was allocated by an equal FontDescriptor.\n \n @since 3.1 \n\n @param previouslyCreatedFont previously allocated font\n',non-directive
'@param key  the key to look up\n ',non-directive
'@param key  the key to look up\n ',non-directive
' Creates a new preference manager with the given\n path separator.\n \n',non-directive
'<li>extendedMargins(0,0,0,0)</li>\n ',non-directive
' Prints the contents of this preference store to the given print stream.\n \n @param out\n            the print stream\n',non-directive
' The label for not to all buttons.\n',non-directive
?,non-directive
'</p>\n <p>\n This package contains ready-to-use field editors for various\n types of preferences:\n <ul>\n   ',non-directive
'<p>\n The float is obtained from the results of {',non-directive
'-->\n\n',non-directive
' Creates an integer field editor.\n \n @param name the name of the preference this field editor works on\n @param labelText the label text of the field editor\n @param parent the parent of the field editor\'s control\n @param textLimit the maximum number of characters in the text.\n',non-directive
' Creates a scale field editor with particular scale values.\n \n',non-directive
' Returns a list of completion proposals based on the specified location\n within the document that corresponds to the current cursor position\n within the text viewer.\n\n ',non-directive
' Minimal interface to a message provider. ',non-directive
'@param value the int value\n ',non-directive
' Makes the given shell resizable on all platforms. ',non-directive
'@author Mark Reinhold\n\n',non-directive
?,non-directive
?,non-directive
?,non-directive
' Handle the shell close. ',non-directive
?,non-directive
' Creates the next browser input with the given input as previous one.\n\n ',non-directive
?,non-directive
' Returns the IDialogSettings name.\n \n',non-directive
'Therefore\nsoft and weak references need not be registered with a queue in order to be\nuseful, while phantom references do.  ',non-directive
'<LI> <I>Level</I>: Defines a set of standard logging levels that can be used\n                      to control logging output. ',non-directive
' Returns the set of FontData associated with this font. Modifying the elements\n in the returned array has no effect on the original FontDescriptor.\n \n @return the set of FontData associated with this font\n @since 3.3\n',non-directive
?,non-directive
'@param monitor2\n            the second progress monitor\n ',non-directive
'<LI> <I>Problem diagnosis by field service engineers</I>. ',non-directive
'@param c composite whose layout will be set\n ',non-directive
?,non-directive
' Initializes this field editor with the preference value from\n the preference store.\n',non-directive
'@author\t  Mark Reinhold\n',non-directive
?,non-directive
' Decrements the nesting depth of running operations.\n \n',non-directive
?,non-directive
'The returned object\n will always throw an {',non-directive
' Returns the preference store used by this field editor.\n\n @return the preference store, or <code>null</code> if none\n @see #setPreferenceStore\n',non-directive
' Detach the progress monitor part from the given cancel\n component\n @param cc\n',non-directive
'@since 3.3\n',non-directive
'It consists\n of a label displaying the task and subtask name, and a\n progress indicator to show progress. ',non-directive
'<p>\n This iterator is a valid iterator object that will iterate\n over nothing.\n\n ',non-directive
'<li><a href=\n    \"{@docRoot}/../technotes/guides/security/PolicyFiles.html\"><b>\n    Default Policy Implementation and Policy File Syntax\n    </b></a></li>\n\n  ',non-directive
'@since 3.5\n',non-directive
'The framework provides a concrete\npreference store implementation (<tt>PreferenceStore</tt>) based on an\ninternal <tt>java.util.Properties</tt> object, with support for persisting\nthe non-default preference values to files or streams.\n',non-directive
'</ul>\n\n',non-directive
?,non-directive
'@since 2.0\n',non-directive
'Short equivalent of {',non-directive
?,non-directive
' Finds and returns the preference node directly\n below the top at the given path.\n\n ',non-directive
'@throws BadLocationException if accessing the document failed\n',non-directive
'-->\n\n',non-directive
'@param name the name of the preference\n ',non-directive
'@return  a map iterator over nothing\n',non-directive
?,non-directive
?,non-directive
'@return  the value in the map as a number, or defaultValue if the\n    original value is null, the map is null or the map conversion\n    fails\n',non-directive
'@since Commons Collections 1.0\n ',non-directive
?,non-directive
'If there is no value for a given name, \n then that preferences\'s default value is returned; and if there is no\n default value for that preference, then a default-default value is returned.\n ',non-directive
'@return <code>true</code> if the given status should be displayed, and\n         <code>false</code> otherwise\n ',non-directive
' Public field that dictates if the page change will successfully change.\n \n Set this field to <code>false</code> to prevent the page from changing.\n   \n Default value is <code>true</code>.\n',non-directive
'@since 2.0\n',non-directive
'<li>\nsetting the viewer\'s content provider (an object implementing <tt>IContentProvider</tt>),</li>\n\n',non-directive
'@param array  the array over which to iterate\n ',non-directive
'@see org.eclipse.jface.dialogs.Dialog#buttonPressed(int)\n',non-directive
'@throws IllegalArgumentException if the method name is null\n ',non-directive
?,non-directive
'@param prefStore\n            The prefStore to set. ',non-directive
'@param enumeration  the enumeration to use\n ',non-directive
'@param name the name of the preference\n ',non-directive
