@relation 'dataset_corrected_only_comments_and_manually_revised_subset_(only comments and class)-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-weka.filters.unsupervised.instance.Randomize-S42'

@attribute text string
@attribute is_directive {directive,non-directive}

@data
'This allows the flexibility\nof adding localizations for new localizations at any time.\n',non-directive
' The default-default value for color preferences \n (black, <code>RGB(0,0,0)</code>).\n',non-directive
'@throws IOException\n',non-directive
'@param parent the parent component used for checking or <code>null</code> if none\n ',directive
'A\n<tt>CopyOnWriteArrayList</tt> is preferable to\na synchronized <tt>ArrayList</tt> when the expected number of reads\nand traversals greatly outnumber the number of updates to a list.\n\n',directive
'@exception InterruptedException if the operation detects a request to cancel, \n  using <code>IProgressMonitor.isCanceled()</code>, it should exit by throwing \n  <code>InterruptedException</code>\n\n ',directive
' Layout constant (value <code>0</code>) indicating that\n each field editor is handled as a single component.\n',non-directive
'@return the scale control, or <code>null</code> if no scale field is\n         created yet\n',directive
'<p>\n Note: This content assist subject control may not support prepending a verify\n listener, in which case <code>false</code> will be returned. ',directive
'@since 3.0\n',non-directive
' Convenience API. ',non-directive
'In contrast to\n <code>ProgressMonitorDialog</code> this class only implements\n <code>IProgressMonitor</code>.\n',directive
'@param name the name of the preference\n ',non-directive
'@param value  the new value\n ',non-directive
' The popup priority: &gt; info pop-ups, &lt; standard content assist.\n ',directive
?,non-directive
'@return <code>true</code> if help is available,\n   and <code>false</code> if this wizard is helpless\n',non-directive
'Therefore application developers may\ntake advantage of any number of provider-based implementations\nwithout having to add or rewrite code.\n\n',directive
'A tactic that often works well is to examine a reference queue in\nthe course of performing some other fairly-frequent action.  ',non-directive
'If product defines\n its own way of handling errors, this error dialog may cause UI inconsistency,\n so until it is absolutely necessary, <code>StatusManager</code> should be\n used.\n ',directive
'The\n{@code synchronized} and {@code volatile} constructs, as well as the\n{@code Thread.start()} and {@code Thread.join()} methods, can form\n<i>happens-before</i> relationships. ',directive
?,non-directive
'In the case of ambiguities, the user must\n make the choice.\n\n ',directive
?,non-directive
'The span controls how many cells\n are filled by the control. \n \n',directive
'As the model changes,\nit is the content provider\'s responsibility to respond to changes to the\nmodel by telling the viewer what to change (done by calling add and remove\nmethods on the viewer). ',directive
'<p>\n Returns one of <code>NONE</code>,<code>INFORMATION</code>,\n <code>WARNING</code>, or <code>ERROR</code>.\n ',directive
'@throws BadLocationException if accessing the document failed\n',non-directive
'@param display the <code>Display</code> to hook into.\n',non-directive
'At the end, this is converted to an array.\n\n ',non-directive
' Set the layoutData for the title area. ',non-directive
?,non-directive
' A thread listener is an object that is interested in receiving notifications\n of thread changes.  For example, a thread listener can be used to notify a \n runnable of the thread that will execute it, allowing the runnable to transfer\n thread-local state from the calling thread before control passes to the new thread.\n \n @since 3.1\n',directive
?,non-directive
'\nProvides an information provider add-on for an <tt>ITextViewer</tt>.\nAn information provider presents information for a certain subject in a\nspecific information control. An information control usually is a floating\nwindow.\n<h2>\nPackage Specification</h2>\n<tt>IInformationPresenter</tt> defines the concept of an information provider.\nIt collaborates with content type specific information providers (<tt>IInformationProvider</tt>)\nwhich determine for a certain offset in a text viewer an information subject\nand the information available about this subject.. The package contains\na default implementation of <tt>IInformationPresenter</tt> (<tt>InformationPresenter</tt>).\n',non-directive
?,non-directive
' Removes all contribution nodes known to this manager.\n',non-directive
'Since quick assists can be proposed\nwhere appropriate they are normally not visible in the viewer. ',directive
' Removes the given input change listener from this input change provider.\n ',non-directive
' Set the foreground and background colors of the\n control to the specified values. If the values are\n null than ignore them. \n @param control the control the foreground and/or background color should be set\n \n @param foreground Color the foreground color (maybe <code>null</code>)\n @param background Color the background color (maybe <code>null</code>)\n',directive
?,non-directive
'@since 3.0\n \n',non-directive
' The default-default value for <code>FontData[]</code> preferences.\n',non-directive
'@param display the display used \n ',non-directive
'In \n general, you should use a *Registry class to map IDs onto descriptors, and use a \n ResourceManager to convert the descriptors into real Images/Fonts/etc.\n ',directive
'This could be useful during testing as a placeholder.\n \n',non-directive
' Returns the initial location to use for the shell. Overridden\n to check whether the bounds of the dialog have been stored in\n dialog settings.  If a location has been stored, it is returned.\n \n @param initialSize\n            the initial size of the shell, as returned by\n            <code>getInitialSize</code>.\n @return the initial location of the shell\n \n @since 3.2\n @see #getDialogBoundsSettings()\n @see #getDialogBoundsStrategy()\n',directive
'@param previous the previous input or <code>null</code> if none\n',directive
' Creates a string field editor.\n ',non-directive
' Updates the title bar (title, description, and image) to \n reflect the state of the currently active page in this container.\n <p>\n This method is called by the container itself\n when its wizard page changes and may be called\n by the page at other times to force a title bar \n update.\n </p>\n',directive
'@return the size of the preference page encoded as\n   <code>new Point(width,height)</code>, or \n   <code>(0,0)</code> if the page doesn\'t currently have any UI component\n',directive
'@return the current information control, or <code>null</code> if none available\n',directive
'</p>\n <p>\n Convenience for:\n \n <pre>\n if (monitor.isCanceled())\n \tthrow new InterruptedException();\n </pre>\n \n </p>\n \n ',directive
' <p><code>IWizardContainer2</code> is a supplement to \n <code>IWizardContainer</code> that adds a method for updating the size of \n the wizard shell based on the contents of the current page.</p>\n \n <p>The class <code>WizardDialog</code> provides a fully functional \n implementation of this interface which will meet the needs of\n most clients. ',directive
'@param newMessage\n            the message, or <code>null</code> to clear the message\n',directive
'For example, never call {',directive
'<li>BoundedFifoBuffer - implements a buffer with a fixed size that throws exceptions when full\n',non-directive
